nr. sessions,nr. rest days,total kms,max km one day,"nr. tough sessions (effort in Z5, T1 or T2)",nr. strength trainings
6.0,1.0,81.6,19.4,2.0,0.0
8.0,1.0,94.1,23.0,0.0,0.0
5.0,2.0,84.2,23.5,2.0,0.0
7.0,0.0,58.4,13.3,3.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,1.0,18.4,7.3,0.0,2.0
5.0,2.0,16.6,5.0,0.0,0.0
6.0,1.0,42.4,13.4,2.0,2.0
6.0,1.0,48.0,16.0,0.0,1.0
7.0,0.0,118.5,29.0,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
5.0,2.0,9.4,9.4,0.0,1.0
7.0,2.0,58.0,16.1,1.0,0.0
5.0,2.0,6.6,6.6,0.0,0.0
1.0,6.0,14.0,14.0,0.0,0.0
7.0,0.0,65.7,16.8,3.0,2.0
6.0,2.0,52.8,12.3,0.0,3.0
7.0,1.0,60.7,15.0,3.0,0.0
8.0,1.0,114.1,24.9,0.0,1.0
5.0,2.0,36.9,10.3,1.0,0.0
6.0,1.0,65.0,16.0,0.0,0.0
7.0,0.0,110.4,20.0,0.0,0.0
7.0,1.0,88.8,20.0,1.0,1.0
4.0,3.0,16.5,11.0,0.0,1.0
9.0,0.0,90.9,32.0,2.0,1.0
9.0,0.0,78.2,18.1,1.0,1.0
8.0,1.0,113.7,26.2,1.0,0.0
9.0,0.0,116.2,24.3,1.0,3.0
7.0,1.0,34.0,12.0,0.0,2.0
2.0,5.0,8.0,4.0,0.0,1.0
3.0,4.0,34.3,11.8,2.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0
4.0,3.0,23.2,9.5,2.0,1.0
7.0,0.0,33.9,9.1,0.0,1.0
4.0,3.0,4.5,2.8,0.0,2.0
6.0,1.0,7.0,7.0,0.0,3.0
5.0,2.0,38.6,9.0,0.0,0.0
5.0,2.0,22.8,11.2,2.0,1.0
4.0,3.0,15.0,9.0,0.0,0.0
5.0,2.0,47.5,13.6,1.0,0.0
6.0,2.0,54.3,18.0,1.0,1.0
6.0,1.0,65.1,14.1,0.0,0.0
2.0,5.0,16.4,9.4,0.0,0.0
5.0,3.0,42.9,14.5,0.0,0.0
8.0,1.0,80.0,24.8,2.0,0.0
6.0,1.0,0.0,0.0,0.0,2.0
4.0,3.0,24.3,8.4,0.0,1.0
3.0,4.0,14.3,5.3,0.0,0.0
3.0,4.0,28.4,10.9,0.0,0.0
8.0,1.0,49.0,14.2,2.0,1.0
7.0,1.0,78.9,15.0,3.0,1.0
5.0,2.0,13.0,5.5,0.0,2.0
5.0,2.0,55.8,14.2,0.0,1.0
9.0,0.0,59.4,20.5,3.0,2.0
8.0,1.0,101.4,26.9,1.0,1.0
1.0,6.0,10.2,10.2,0.0,0.0
5.0,3.0,36.8,11.9,2.0,1.0
10.0,0.0,0.0,0.0,0.0,3.0
12.0,0.0,133.4,28.2,1.0,1.0
6.0,1.0,39.0,11.0,1.0,0.0
8.0,0.0,9.2,3.4,0.0,0.0
7.0,0.0,4.8,3.0,0.0,2.0
4.0,4.0,1.2,1.2,0.0,0.0
6.0,1.0,25.4,8.8,2.0,1.0
7.0,2.0,60.9,13.6,2.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,0.0,86.6,15.1,3.0,1.0
6.0,1.0,74.4,18.8,0.0,0.0
6.0,2.0,13.3,4.5,0.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,92.2,20.0,1.0,0.0
8.0,0.0,106.5,24.9,2.0,2.0
7.0,1.0,86.3,17.0,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,0.0,16.1,8.0,0.0,1.0
9.0,0.0,50.8,14.0,1.0,2.0
5.0,2.0,0.0,0.0,0.0,0.0
6.0,2.0,27.5,14.0,1.0,2.0
7.0,0.0,49.5,12.0,1.0,0.0
9.0,1.0,98.9,27.5,2.0,1.0
4.0,3.0,47.1,13.7,0.0,0.0
5.0,2.0,53.5,18.0,1.0,1.0
4.0,3.0,18.5,13.0,0.0,0.0
4.0,3.0,40.3,25.9,1.0,1.0
6.0,1.0,14.5,6.5,2.0,0.0
3.0,4.0,22.2,12.2,1.0,1.0
3.0,4.0,17.0,7.5,1.0,0.0
9.0,0.0,145.7,35.3,3.0,0.0
2.0,5.0,19.0,9.5,1.0,0.0
7.0,1.0,34.5,8.0,0.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,56.7,15.2,0.0,1.0
6.0,1.0,37.3,10.1,3.0,1.0
5.0,3.0,14.0,6.0,0.0,0.0
5.0,2.0,58.7,13.5,1.0,0.0
8.0,1.0,57.9,15.8,1.0,2.0
5.0,2.0,0.0,0.0,0.0,3.0
5.0,2.0,28.2,10.9,1.0,0.0
10.0,0.0,117.3,24.7,1.0,0.0
7.0,1.0,35.0,10.5,3.0,1.0
7.0,0.0,38.9,15.2,0.0,1.0
2.0,5.0,16.9,9.5,1.0,0.0
6.0,2.0,79.8,21.2,2.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,40.0,10.0,2.0,1.0
7.0,0.0,21.4,6.4,1.0,2.0
3.0,4.0,23.4,12.0,1.0,0.0
9.0,0.0,57.9,14.9,2.0,2.0
10.0,0.0,94.3,21.8,1.0,2.0
11.0,1.0,103.8,27.4,4.0,3.0
7.0,0.0,51.6,15.5,1.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
9.0,1.0,68.0,23.0,1.0,0.0
7.0,1.0,66.6,12.9,3.0,1.0
6.0,2.0,92.0,34.0,0.0,1.0
7.0,1.0,53.0,12.0,2.0,1.0
5.0,2.0,0.0,0.0,0.0,4.0
7.0,1.0,61.1,17.1,3.0,0.0
6.0,1.0,81.3,19.8,1.0,0.0
6.0,1.0,68.0,17.2,2.0,0.0
7.0,0.0,76.7,17.0,2.0,0.0
4.0,3.0,15.9,9.9,1.0,1.0
6.0,1.0,30.4,12.4,3.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
12.0,1.0,168.1,30.7,1.0,4.0
4.0,3.0,43.7,12.2,0.0,0.0
6.0,1.0,68.6,14.8,1.0,0.0
1.0,6.0,11.0,11.0,0.0,0.0
4.0,3.0,53.0,14.0,0.0,0.0
5.0,2.0,32.8,13.9,0.0,1.0
3.0,4.0,17.5,10.0,1.0,0.0
8.0,0.0,78.8,18.1,3.0,2.0
10.0,0.0,183.5,39.0,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,1.0,80.9,21.0,3.0,2.0
8.0,0.0,47.0,8.6,0.0,3.0
9.0,0.0,130.0,25.7,2.0,1.0
2.0,5.0,24.0,13.0,0.0,0.0
6.0,2.0,77.7,32.9,0.0,0.0
6.0,1.0,58.8,18.0,2.0,1.0
5.0,2.0,48.5,17.0,0.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,1.0,42.8,9.6,3.0,1.0
5.0,2.0,34.4,10.2,1.0,0.0
6.0,1.0,18.2,9.8,1.0,0.0
5.0,2.0,40.5,15.2,1.0,1.0
7.0,0.0,99.6,19.0,2.0,0.0
8.0,1.0,51.9,14.0,1.0,2.0
4.0,3.0,25.5,10.0,3.0,0.0
6.0,1.0,35.3,9.8,2.0,0.0
7.0,0.0,76.1,17.0,2.0,0.0
7.0,1.0,43.3,10.3,3.0,1.0
6.0,1.0,102.2,19.2,2.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0
6.0,2.0,3.0,3.0,0.0,1.0
3.0,4.0,39.9,15.1,0.0,0.0
10.0,0.0,122.9,26.3,1.0,2.0
5.0,2.0,26.2,10.4,2.0,2.0
7.0,0.0,108.5,24.0,3.0,0.0
6.0,1.0,78.9,22.5,2.0,1.0
8.0,1.0,29.4,16.6,1.0,0.0
6.0,2.0,5.0,2.5,0.0,2.0
6.0,1.0,44.0,11.5,2.0,1.0
10.0,0.0,183.4,36.0,1.0,0.0
6.0,2.0,47.0,14.7,1.0,1.0
5.0,2.0,10.6,5.8,0.0,0.0
7.0,0.0,99.0,22.0,3.0,1.0
5.0,2.0,43.0,11.5,1.0,0.0
7.0,2.0,0.0,0.0,0.0,2.0
6.0,1.0,73.0,21.5,3.0,2.0
7.0,0.0,101.4,19.4,1.0,1.0
8.0,1.0,12.8,6.0,0.0,0.0
5.0,2.0,15.2,4.4,2.0,1.0
4.0,3.0,26.1,8.0,4.0,0.0
5.0,2.0,41.1,10.9,2.0,1.0
8.0,0.0,61.7,12.0,3.0,1.0
6.0,1.0,41.0,11.0,2.0,2.0
5.0,2.0,23.2,7.6,0.0,0.0
7.0,2.0,58.8,20.0,1.0,2.0
7.0,0.0,71.5,18.7,1.0,2.0
9.0,0.0,0.0,0.0,0.0,3.0
6.0,1.0,1.5,1.5,0.0,0.0
4.0,3.0,56.0,16.0,0.0,0.0
6.0,1.0,64.2,18.5,2.0,1.0
1.0,6.0,11.5,11.5,0.0,0.0
5.0,2.0,11.3,7.5,0.0,2.0
6.0,1.0,52.0,14.0,0.0,1.0
6.0,1.0,15.5,8.5,0.0,2.0
9.0,0.0,61.0,18.0,1.0,2.0
5.0,2.0,53.1,17.1,2.0,2.0
7.0,0.0,84.2,15.0,2.0,0.0
5.0,2.0,40.0,12.0,2.0,0.0
